datetime,open,low,high,close,volume
2020-07-01 09:00:00,7944.0,7944.0,7986.0,7985.0,3700.0
2020-07-01 09:01:00,7984.0,7969.0,7988.0,7969.0,2196.0
2020-07-01 09:02:00,7969.0,7969.0,7986.0,7986.0,1349.0
2020-07-01 09:03:00,7986.0,7980.0,7993.0,7982.0,1733.0
2020-07-01 09:04:00,7982.0,7973.0,7989.0,7974.0,1082.0
2020-07-01 09:05:00,7974.0,7973.0,7989.0,7987.0,1114.0
2020-07-01 09:06:00,7987.0,7987.0,7998.0,7995.0,1969.0
2020-07-01 09:07:00,7995.0,7985.0,8001.0,7985.0,1644.0
2020-07-01 09:08:00,7987.0,7986.0,7995.0,7989.0,820.0
2020-07-01 09:09:00,7988.0,7981.0,7990.0,7986.0,763.0
2020-07-01 09:10:00,7987.0,7987.0,7998.0,7993.0,850.0
2020-07-01 09:11:00,7992.0,7988.0,7995.0,7993.0,531.0
2020-07-01 09:12:00,7993.0,7993.0,8000.0,7999.0,992.0
2020-07-01 09:13:00,7999.0,7995.0,8002.0,8000.0,962.0
2020-07-01 09:14:00,8002.0,7994.0,8002.0,7998.0,842.0
2020-07-01 09:15:00,7998.0,7997.0,8010.0,8010.0,1799.0
2020-07-01 09:16:00,8010.0,8002.0,8010.0,8003.0,931.0
2020-07-01 09:17:00,8003.0,8003.0,8020.0,8020.0,1973.0
2020-07-01 09:18:00,8020.0,8010.0,8020.0,8012.0,1641.0
2020-07-01 09:19:00,8013.0,8007.0,8014.0,8012.0,655.0
2020-07-01 09:20:00,8012.0,8012.0,8024.0,8016.0,2211.0
2020-07-01 09:21:00,8016.0,8012.0,8017.0,8013.0,876.0
2020-07-01 09:22:00,8013.0,8012.0,8022.0,8017.0,931.0
2020-07-01 09:23:00,8017.0,8011.0,8019.0,8011.0,541.0
2020-07-01 09:24:00,8011.0,8011.0,8015.0,8014.0,483.0
2020-07-01 09:25:00,8015.0,7996.0,8015.0,8000.0,2395.0
2020-07-01 09:26:00,8001.0,7996.0,8003.0,8003.0,1103.0
2020-07-01 09:27:00,8003.0,7993.0,8004.0,7999.0,877.0
2020-07-01 09:28:00,7998.0,7996.0,8002.0,8000.0,440.0
2020-07-01 09:29:00,8000.0,8000.0,8005.0,8005.0,535.0
2020-07-01 09:30:00,8004.0,8002.0,8007.0,8002.0,463.0
2020-07-01 09:31:00,8002.0,7995.0,8002.0,7997.0,590.0
2020-07-01 09:32:00,7996.0,7996.0,8001.0,7997.0,565.0
2020-07-01 09:33:00,7999.0,7985.0,7999.0,7987.0,1641.0
2020-07-01 09:34:00,7986.0,7978.0,7989.0,7989.0,1710.0
2020-07-01 09:35:00,7988.0,7984.0,7989.0,7985.0,816.0
2020-07-01 09:36:00,7986.0,7983.0,7990.0,7988.0,677.0
2020-07-01 09:37:00,7987.0,7983.0,7989.0,7988.0,526.0
2020-07-01 09:38:00,7988.0,7987.0,7999.0,7995.0,883.0
2020-07-01 09:39:00,7996.0,7992.0,7996.0,7994.0,271.0
2020-07-01 09:40:00,7993.0,7993.0,8000.0,8000.0,399.0
2020-07-01 09:41:00,7998.0,7995.0,7999.0,7999.0,187.0
2020-07-01 09:42:00,7999.0,7991.0,7999.0,7992.0,329.0
2020-07-01 09:43:00,7992.0,7991.0,7995.0,7994.0,189.0
2020-07-01 09:44:00,7994.0,7984.0,7994.0,7985.0,417.0
2020-07-01 09:45:00,7987.0,7984.0,7993.0,7990.0,438.0
2020-07-01 09:46:00,7991.0,7990.0,7993.0,7990.0,85.0
2020-07-01 09:47:00,7991.0,7985.0,7991.0,7987.0,307.0
2020-07-01 09:48:00,7987.0,7986.0,7992.0,7991.0,272.0
2020-07-01 09:49:00,7991.0,7987.0,7993.0,7993.0,95.0
2020-07-01 09:50:00,7993.0,7989.0,7996.0,7995.0,378.0
2020-07-01 09:51:00,7996.0,7992.0,7996.0,7994.0,268.0
2020-07-01 09:52:00,7994.0,7990.0,7994.0,7990.0,157.0
2020-07-01 09:53:00,7990.0,7990.0,7992.0,7992.0,111.0
2020-07-01 09:54:00,7992.0,7990.0,7992.0,7992.0,108.0
2020-07-01 09:55:00,7990.0,7990.0,7992.0,7991.0,114.0
2020-07-01 09:56:00,7991.0,7990.0,7995.0,7994.0,120.0
2020-07-01 09:57:00,7993.0,7992.0,7994.0,7993.0,126.0
2020-07-01 09:58:00,7994.0,7993.0,7995.0,7995.0,78.0
2020-07-01 09:59:00,7994.0,7994.0,8004.0,8003.0,766.0
2020-07-01 10:00:00,8002.0,7996.0,8003.0,7998.0,490.0
2020-07-01 10:01:00,7998.0,7997.0,8002.0,8000.0,354.0
2020-07-01 10:02:00,8000.0,7996.0,8000.0,7999.0,366.0
2020-07-01 10:03:00,7999.0,7996.0,7999.0,7996.0,136.0
2020-07-01 10:04:00,7996.0,7994.0,7998.0,7996.0,148.0
2020-07-01 10:05:00,7996.0,7988.0,7997.0,7989.0,381.0
2020-07-01 10:06:00,7989.0,7985.0,7993.0,7992.0,345.0
2020-07-01 10:07:00,7992.0,7987.0,7992.0,7987.0,243.0
2020-07-01 10:08:00,7989.0,7988.0,7992.0,7992.0,149.0
2020-07-01 10:09:00,7990.0,7985.0,7991.0,7987.0,392.0
2020-07-01 10:10:00,7986.0,7986.0,7993.0,7990.0,419.0
2020-07-01 10:11:00,7988.0,7985.0,7991.0,7987.0,278.0
2020-07-01 10:12:00,7987.0,7981.0,7988.0,7985.0,479.0
2020-07-01 10:13:00,7985.0,7983.0,7987.0,7985.0,263.0
2020-07-01 10:14:00,7985.0,7985.0,7990.0,7988.0,297.0
2020-07-01 10:15:00,7988.0,7988.0,7988.0,7988.0,0.0
2020-07-01 10:30:00,7990.0,7988.0,7994.0,7991.0,207.0
2020-07-01 10:31:00,7991.0,7983.0,7991.0,7985.0,423.0
2020-07-01 10:32:00,7985.0,7980.0,7987.0,7981.0,691.0
2020-07-01 10:33:00,7980.0,7978.0,7987.0,7987.0,551.0
2020-07-01 10:34:00,7985.0,7985.0,7987.0,7985.0,92.0
2020-07-01 10:35:00,7985.0,7982.0,7986.0,7985.0,451.0
2020-07-01 10:36:00,7985.0,7982.0,7985.0,7983.0,175.0
2020-07-01 10:37:00,7983.0,7983.0,7985.0,7985.0,75.0
2020-07-01 10:38:00,7984.0,7984.0,7988.0,7988.0,200.0
2020-07-01 10:39:00,7988.0,7985.0,7989.0,7985.0,150.0
2020-07-01 10:40:00,7986.0,7983.0,7986.0,7983.0,138.0
2020-07-01 10:41:00,7983.0,7983.0,7986.0,7983.0,121.0
2020-07-01 10:42:00,7983.0,7981.0,7986.0,7986.0,177.0
2020-07-01 10:43:00,7987.0,7987.0,7991.0,7989.0,209.0
